Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
check stub template,10,10,3600,46,6.62,https://www.xero.com/us/templates/pay-stub-template/,14,0.42,92.00,0.65,8040000,"[81,66,29,44,54,29,54,35,35,54,54,44]",2026-01-15,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
example of a business plan,2,2,1300,44,2.35,https://www.xero.com/us/templates/business-plan-template/,14,0.42,32.00,0.43,1460000000,"[13,19,15,13,15,15,15,19,19,15,19,19]",2025-11-18,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",informational,Image pack
receipts template free,1,1,320,,1.74,https://www.xero.com/us/templates/receipt-template/,13,0.39,22.00,0.56,47200000,"[36,67,67,76,0,0,0,0,0,0,0,6]",2025-12-15,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
contractor invoice template,8,8,1900,42,4.62,https://www.xero.com/us/templates/invoice-template/contractor-template/,13,0.39,60.00,0.95,51200000,"[65,65,55,100,82,100,65,65,65,55,65,65]",2026-01-11,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
expense report form,4,4,390,37,5.67,https://www.xero.com/us/templates/expense-report-template/,13,0.39,73.00,0.2,205000000,"[44,44,44,66,66,100,66,35,35,66,66,81]",2025-12-20,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
pay stub generator free pdf,9,9,1000,42,5.17,https://www.xero.com/us/templates/pay-stub-template/,13,0.39,67.00,0.82,473000,"[24,30,36,36,36,55,62,81,62,100,100,100]",2025-12-10,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
pay stub creator free,13,13,2400,51,7.87,https://www.xero.com/us/templates/pay-stub-template/,12,0.36,94.00,0.84,835000,"[54,28,24,36,19,43,43,28,54,43,43,36]",2026-01-16,"Sitelinks, Video, Ads top, Ads bottom, Related searches",commercial,Organic
cash receipt,10,10,2400,33,1.93,https://www.xero.com/us/templates/receipt-template/cash-receipt-template/,12,0.36,23.00,1,487000000,"[43,43,43,54,65,54,54,36,54,43,65,54]",2026-01-11,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
income statement template,11,11,2400,34,5.12,https://www.xero.com/us/templates/income-statement-template/,12,0.36,61.00,0.79,168000000,"[36,43,36,28,28,28,28,28,36,36,36,36]",2026-01-16,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, See results about",informational,Organic
sample payroll check stub,8,8,590,39,3.20,https://www.xero.com/us/templates/pay-stub-template/,12,0.36,38.00,0.31,142000,"[0,0,0,0,0,0,0,0,0,5,100,2]",2026-01-08,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
receipt template free,9,9,2400,53,2.06,https://www.xero.com/us/templates/receipt-template/,12,0.36,24.00,0.67,811000000,"[22,100,65,43,81,54,43,43,54,54,54,43]",2026-01-18,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
paystub generator,26,26,18100,68,5.99,https://www.xero.com/us/templates/pay-stub-template/,12,0.36,71.00,0.78,353000,"[54,67,54,54,67,67,54,54,54,67,54,67]",2026-01-15,"Knowledge panel, Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches",informational,Organic
free downloadable pay stub templates,4,4,170,42,6.21,https://www.xero.com/us/templates/pay-stub-template/,11,0.33,68.00,0.08,23400000,"[34,100,53,80,80,100,100,53,26,26,26,26]",2025-12-07,"Sitelinks, Image, Ads bottom, Related searches",informational,Organic
free pay stub form,5,5,480,44,5.52,https://www.xero.com/us/templates/pay-stub-template/,11,0.33,60.00,0.45,4580000,"[67,67,100,67,16,8,13,20,16,6,67,5]",2025-12-05,"Image pack, Video, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
business plan templates,9,9,3600,57,3.73,https://www.xero.com/us/templates/business-plan-template/,11,0.33,41.00,0.57,274000000,"[24,19,36,12,12,8,12,16,12,19,54,29]",2026-01-18,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches",informational,Image pack
sample paystub,10,10,1300,39,3.20,https://www.xero.com/us/templates/pay-stub-template/,11,0.33,35.00,0.31,3940000,"[5,8,36,20,43,43,36,22,8,54,65,29]",2025-12-24,"Image pack, Video, Image, Related searches",informational,Organic
editable pdf blank pay stubs template,5,5,480,38,5.63,https://www.xero.com/us/templates/pay-stub-template/,11,0.33,61.00,0.2,9440,"[36,36,36,36,20,20,36,20,36,45,45,36]",2025-12-18,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, AI overview",informational,Organic
invoice templates free,11,11,1600,67,3.39,https://www.xero.com/us/templates/invoice-template/,11,0.33,37.00,0.45,55600000,"[35,35,53,24,44,24,18,35,18,18,44,24]",2025-12-07,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
pay stubs free,5,5,390,49,8.99,https://www.xero.com/us/templates/pay-stub-template/,11,0.33,98.00,0.91,121000000,"[8,10,7,41,8,8,8,16,16,24,16,13]",2026-01-07,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
free receipts template,1,1,260,58,1.78,https://www.xero.com/us/templates/receipt-template/,10,0.3,17.00,0.64,49400000,"[55,100,55,20,5,5,0,0,0,20,6,1]",2025-12-23,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
free sample of business proposal,1,1,260,54,3.86,https://www.xero.com/us/templates/business-proposal-template/,10,0.3,38.00,0.42,80300000,"[100,66,44,54,9,15,54,9,12,9,66,15]",2026-01-11,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches, AI overview",informational,Image pack
business planner template,1,1,480,63,4.02,https://www.xero.com/us/templates/business-plan-template/,10,0.3,40.00,0.38,552000000,"[67,5,67,36,36,67,81,81,36,54,44,100]",2025-12-18,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Video Carousel, Related searches",informational,Image pack
receipt generator free,18,18,3600,43,3.02,https://www.xero.com/us/templates/receipt-generator/,10,0.3,30.00,0.73,74300000,"[100,100,81,44,53,53,53,44,44,44,66,44]",2026-01-11,"Sitelinks, Video, Ads top, Ads bottom, Related searches",commercial,Organic
business plan template examples,1,1,260,64,2.98,https://www.xero.com/us/templates/business-plan-template/,10,0.3,29.00,0.54,232000000,"[31,8,7,4,8,25,7,8,25,11,13,16]",2026-01-11,"Image pack, Video, Image, Ads bottom, People also ask, Related searches, Discussions and forums",informational,Image pack
receipt for payment template,1,1,480,54,1.70,https://www.xero.com/us/templates/receipt-template/,10,0.3,17.00,1,118000000,"[7,17,14,26,72,39,26,32,39,100,88,59]",2025-12-30,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",informational,Image pack
pay stub template free online,6,6,260,43,9.05,https://www.xero.com/us/templates/pay-stub-template/,9,0.27,81.00,0.13,702000000,"[3,3,3,59,100,88,3,21,3,4,4,3]",2026-01-10,"Video, Related searches","commercial, informational",Organic
free payroll check stubs,6,6,480,38,8.99,https://www.xero.com/us/templates/pay-stub-template/,9,0.27,80.00,0.91,6510000,"[36,24,36,30,30,30,36,62,20,45,30,24]",2026-01-11,"Sitelinks, Video, Ads bottom, People also ask, Related searches",informational,Organic
free sample business plan template,9,9,2900,66,4.47,https://www.xero.com/us/templates/business-plan-template/,9,0.27,40.00,0.53,105000000,"[35,54,44,44,12,8,5,44,54,29,54,35]",2026-01-14,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
po gratis,22,22,6600,23,0.00,https://www.xero.com/us/templates/purchase-order-template/,9,0.27,0.00,0.33,807000000,"[0,1,0,29,0,100,0,0,0,0,0,0]",2026-01-09,"Video, People also ask, AI overview",transactional,Organic
paystub sample,11,11,1300,36,3.18,https://www.xero.com/us/templates/pay-stub-template/,9,0.27,28.00,0.19,2200000,"[29,65,10,36,29,13,20,13,43,29,16,54]",2025-12-12,"Image pack, Video, Image, Related searches",informational,Organic
free rent receipt template,10,10,1000,31,1.57,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,9,0.27,14.00,0.36,18000000,"[30,36,45,62,36,45,36,45,62,100,100,100]",2025-12-10,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches",informational,Organic
example paystub,7,7,480,32,3.18,https://www.xero.com/us/templates/pay-stub-template/,9,0.27,28.00,0.19,2290000,"[46,46,37,11,25,25,8,8,13,20,52,5]",2025-12-16,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
gusto pay stub template,1,1,70,18,5.36,https://www.xero.com/us/templates/pay-stub-template/,9,0.27,48.00,0.08,68900,"[18,18,18,18,18,18,100,100,100,100,100,63]",2025-12-12,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
printable timesheet template,7,7,390,35,3.09,https://www.xero.com/us/templates/timesheet-template/,9,0.27,27.00,0.31,2010000,"[48,48,32,39,32,32,32,26,32,32,21,48]",2025-12-01,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
job quote template,9,9,480,37,5.04,https://www.xero.com/us/templates/quote-template/,9,0.27,45.00,0.12,96500000,"[16,16,13,20,55,67,36,24,20,24,24,100]",2025-12-09,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
cash payment receipt,9,9,720,32,1.53,https://www.xero.com/us/templates/receipt-template/cash-receipt-template/,9,0.27,13.00,1,348000000,"[46,37,37,46,37,52,46,37,31,31,31,31]",2025-12-05,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
free invoice form,10,10,1000,72,3.49,https://www.xero.com/us/templates/invoice-template/,9,0.27,31.00,0.63,399000000,"[65,36,43,3,3,4,3,29,22,29,20,22]",2025-12-28,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
sample of pay stub template free,7,7,390,41,5.52,https://www.xero.com/us/templates/pay-stub-template/,9,0.27,49.00,0.45,14900000,"[8,10,30,24,3,10,8,4,30,5,55,100]",2025-12-03,"Video, Image, Ads top, Ads bottom, Related searches, AI overview",informational,Organic
paycheck pay stub template,12,12,1900,43,6.62,https://www.xero.com/us/templates/pay-stub-template/,9,0.27,59.00,0.65,316000,"[65,100,65,16,3,0,0,43,54,54,29,54]",2026-01-11,"Image pack, Video, Image, Related searches",informational,Organic
free receipt template,10,10,2400,52,1.78,https://www.xero.com/us/templates/receipt-template/,9,0.27,16.00,0.64,145000000,"[54,81,65,54,81,54,54,43,54,54,43,54]",2026-01-11,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
paystub generator free,24,24,6600,51,7.87,https://www.xero.com/us/templates/pay-stub-template/,9,0.27,70.00,0.84,282000,"[54,81,81,54,66,66,54,54,54,54,66,54]",2026-01-10,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
sample template business plan,1,1,210,35,4.15,https://www.xero.com/us/templates/business-plan-template/,8,0.24,33.00,0.49,130000000,"[8,11,15,44,28,11,8,81,54,100,54,35]",2026-01-20,"Image pack, Sitelinks, Image, Ads bottom, People also ask, Related searches",informational,Image pack
paycheck template,12,12,2900,50,6.62,https://www.xero.com/us/templates/pay-stub-template/,8,0.24,52.00,0.65,15800000,"[100,54,19,54,28,36,43,36,36,43,36,43]",2026-01-11,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
free check stub template,1,1,1600,50,5.52,https://www.xero.com/us/templates/pay-stub-template/,8,0.24,44.00,0.45,4850000,"[79,54,66,79,66,36,79,79,41,36,36,66]",2025-12-03,"Image pack, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle, AI overview",informational,AI overview
template income statement,8,8,390,,4.32,https://www.xero.com/us/templates/income-statement-template/,8,0.24,34.00,0.06,162000000,"[100,7,44,10,1,7,67,3,81,54,100,67]",2026-01-13,"Image pack, Video, Image, Ads bottom, Video Carousel, Related searches",informational,Organic
free balance sheet sample,1,1,210,31,3.39,https://www.xero.com/us/templates/balance-sheet-template/,8,0.24,27.00,0.19,1760000000,"[35,100,66,100,22,18,18,10,29,22,22,100]",2025-12-12,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
free sample receipt template,1,1,210,57,1.74,https://www.xero.com/us/templates/receipt-template/,8,0.24,13.00,0.56,80000000,"[24,8,30,16,10,8,8,6,13,4,13,4]",2025-11-30,"Image pack, Sitelinks, Image, Related searches",informational,Image pack
receipt free template,1,1,210,58,1.74,https://www.xero.com/us/templates/receipt-template/,8,0.24,13.00,0.56,151000000,"[54,23,66,100,0,29,0,0,6,23,19,12]",2025-12-21,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, See results about",informational,Image pack
employee timesheet template,8,8,390,35,5.13,https://www.xero.com/us/templates/timesheet-template/,8,0.24,41.00,0.35,7980000,"[54,44,44,44,23,44,67,23,54,54,36,36]",2025-12-01,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
free payroll check stub template download,7,7,320,40,5.01,https://www.xero.com/us/templates/pay-stub-template/,7,0.21,35.00,0.47,279000,"[45,20,20,30,5,2,13,8,20,6,100,6]",2026-01-01,"Image pack, Video, Ads bottom, Related searches",informational,Organic
free receipt forms,1,1,170,62,1.78,https://www.xero.com/us/templates/receipt-template/,7,0.21,12.00,0.64,460000000,"[12,28,100,28,53,43,43,17,10,66,100,82]",2026-01-12,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Image pack
timecard template,10,10,880,36,3.20,https://www.xero.com/us/templates/timesheet-template/,7,0.21,22.00,0.73,22200000,"[30,16,44,55,44,30,16,20,34,30,30,34]",2025-12-05,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
free pay stub forms,5,5,170,,5.52,https://www.xero.com/us/templates/pay-stub-template/,7,0.21,38.00,0.45,8700000,"[43,53,53,100,65,81,53,53,43,43,15,28]",2025-12-07,"Sitelinks, Video, Related searches",informational,Organic
free invoices template,8,8,320,59,3.39,https://www.xero.com/us/templates/invoice-template/,7,0.21,23.00,0.45,56300000,"[3,5,8,8,7,7,8,7,1,10,8,7]",2025-12-01,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
printable timesheet,8,8,320,32,2.39,https://www.xero.com/us/templates/timesheet-template/,7,0.21,16.00,0.86,2550000,"[23,18,23,66,35,35,81,44,35,100,66,81]",2025-12-29,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
free rent receipt format,7,7,320,28,1.61,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,7,0.21,11.00,0.43,6760000,"[29,100,19,29,23,12,5,54,12,81,12,10]",2026-01-08,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches",informational,Organic
business templates,5,5,1300,50,5.39,https://www.xero.com/us/templates/business-plan-template/,7,0.21,37.00,0.39,565000000,"[52,46,46,68,68,84,68,68,68,100,84,84]",2025-12-21,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Image pack
employee time sheet template,7,7,320,41,5.10,https://www.xero.com/us/templates/timesheet-template/,7,0.21,35.00,1,140000000,"[44,35,66,54,81,28,23,66,28,81,100,44]",2025-12-24,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
pay stubs templates free,8,8,320,16,5.16,https://www.xero.com/us/templates/pay-stub-template/,7,0.21,36.00,0.71,9,"[29,44,81,54,44,54,54,29,23,44,66,29]",2025-11-19,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
consulting billing invoice template,9,9,390,39,5.63,https://www.xero.com/us/templates/invoice-template/consulting-template/,7,0.21,39.00,0.85,660000,"[21,88,17,21,11,11,21,100,14,21,48,59]",2025-12-29,"Image pack, Image, Ads bottom, Related searches",informational,Organic
template for rent receipt,6,6,260,25,1.46,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,7,0.21,10.00,1,146000000,"[48,100,88,0,0,21,0,4,39,39,0,0]",2026-01-13,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
free template for balance sheet,1,1,170,28,3.92,https://www.xero.com/us/templates/balance-sheet-template/,7,0.21,27.00,0.35,29200000,"[66,100,66,35,17,28,23,53,28,28,23,35]",2025-12-28,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
rental receipt template,10,10,880,26,1.62,https://www.xero.com/us/templates/receipt-template/rent-receipt-template/,7,0.21,11.00,1,35500000,"[18,10,18,16,16,24,18,16,16,16,13,18]",2025-12-08,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
free cash receipt template,1,1,170,36,1.02,https://www.xero.com/us/templates/receipt-template/cash-receipt-template/,7,0.21,7.00,0.22,47100000,"[66,17,43,17,43,66,23,53,66,66,43,43]",2025-12-02,"Image pack, Sitelinks, Image, Ads bottom, Related searches",informational,Image pack
cash flow projection template,12,12,1000,19,6.29,https://www.xero.com/us/templates/cash-flow-projection-template/,7,0.21,44.00,0.21,3960000,"[24,41,36,41,36,54,36,41,30,66,24,41]",2025-12-08,"Video, Image, Related searches, AI overview",informational,Organic
free payroll stub template,1,1,210,49,5.52,https://www.xero.com/us/templates/pay-stub-template/,7,0.21,38.00,0.45,0,"[22,100,22,43,66,35,54,29,8,43,43,54]",2025-11-23,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,AI overview
paycheck stub template free,9,9,480,44,5.05,https://www.xero.com/us/templates/pay-stub-template/,6,0.18,30.00,0.71,3580000,"[8,13,13,8,11,16,13,13,24,24,20,16]",2025-12-23,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, AI overview",informational,Organic
free pay stub template download,6,6,260,43,5.01,https://www.xero.com/us/templates/pay-stub-template/,6,0.18,30.00,0.47,60700000,"[54,35,44,35,28,81,23,28,54,54,81,54]",2026-01-11,"Image pack, Video, Ads bottom, Related searches, AI overview",informational,Organic
