Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
construction invoice template,4,4,1600,36,5.63,https://www.freshbooks.com/invoice-templates/construction,70,0.02,394.00,1,37000000,"[100,68,84,100,100,100,68,68,84,68,68,68]",2025-12-24,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
invoice template invoice,6,6,2900,67,3.89,https://www.freshbooks.com/invoice-templates,69,0.02,268.00,1,54600000,"[0,0,0,0,0,0,0,0,7,100,54,0]",2026-01-18,"Image pack, Video, Image, Related searches",informational,Organic
sample income sheet,1,1,1600,26,3.86,https://www.freshbooks.com/accounting-templates/income-statement,66,0.02,254.00,0.02,54700000,"[2,7,1,3,0,0,1,3,0,2,66,3]",2025-12-29,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
job estimate template,3,3,1000,28,5.91,https://www.freshbooks.com/estimate-templates/google-docs,65,0.02,384.00,0.52,77600000,"[76,76,45,76,76,100,76,67,67,76,67,55]",2025-12-03,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
excel estimate template,1,1,260,38,5.96,https://www.freshbooks.com/estimate-templates/excel,64,0.01,381.00,0.1,31300000,"[23,15,18,28,54,100,66,54,23,23,18,100]",2025-11-28,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches",informational,Organic
landscaping estimate template,1,1,480,15,4.90,https://www.freshbooks.com/estimate-templates/landscaping,63,0.01,308.00,0.81,2320000,"[17,21,21,39,72,72,48,48,48,59,48,59]",2025-12-28,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
google sheets invoice template,2,2,2400,50,2.47,https://www.freshbooks.com/invoice-templates/google-sheets,62,0.01,153.00,0.22,13800000,"[55,55,65,82,82,82,82,65,100,82,82,65]",2026-01-09,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
ms word invoice format,7,7,2400,58,2.84,https://www.freshbooks.com/invoice-templates/word,57,0.01,161.00,0.02,18600000,"[0,0,2,2,0,16,19,24,0,4,100,100]",2026-01-15,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
construction estimate template,4,4,1300,32,8.93,https://www.freshbooks.com/estimate-templates/word,57,0.01,509.00,1,63100000,"[84,68,52,84,46,84,52,52,68,68,68,52]",2025-12-18,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
free p&l template,1,1,1300,31,3.70,https://www.freshbooks.com/accounting-templates/profit-and-loss,53,0.01,196.00,0.44,4020000,"[55,65,65,65,20,34,24,24,16,20,34,65]",2025-12-18,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches",informational,Image pack
estimate format in word,1,1,210,23,3.76,https://www.freshbooks.com/estimate-templates/word,52,0.01,195.00,0.45,10,"[43,22,35,35,35,66,43,43,29,66,35,35]",2025-11-24,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
hourly invoice template,1,1,390,31,5.10,https://www.freshbooks.com/invoice-templates/hourly,51,0.01,260.00,0.92,3090000,"[81,100,81,81,100,100,81,66,66,81,54,54]",2025-11-30,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
work estimate template,3,3,720,33,5.42,https://www.freshbooks.com/estimate-templates/google-docs,46,0.01,249.00,1,134000000,"[45,36,67,100,76,67,55,55,55,36,55,36]",2026-01-12,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches",informational,Organic
estimate template,4,4,2900,36,5.04,https://www.freshbooks.com/estimate-templates/google-docs,43,0.01,216.00,0.88,147000000,"[81,54,65,65,81,65,65,54,65,54,54,54]",2026-01-06,"Image pack, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,People also ask
estimate excel format,1,1,170,19,5.96,https://www.freshbooks.com/estimate-templates/excel,42,0.01,250.00,0.1,10,"[26,7,14,9,9,3,4,1,7,14,7,100]",2025-11-24,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
estimate template word,1,1,320,28,3.86,https://www.freshbooks.com/estimate-templates/word,42,0.01,162.00,0.95,52400000,"[29,36,36,54,66,54,54,36,100,36,44,29]",2026-01-07,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
sample profit and loss,1,1,1000,49,3.54,https://www.freshbooks.com/accounting-templates/profit-and-loss,41,0.01,145.00,0.38,180000000,"[0,2,10,4,3,100,66,18,10,5,8,8]",2025-11-30,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Image pack
free invoice templates,8,8,4400,73,3.49,https://www.freshbooks.com/invoice-templates/google-docs,41,0.01,143.00,0.63,57900000,"[44,10,29,36,44,12,24,19,24,12,44,24]",2026-01-15,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,People also ask
profit and loss statement format,1,1,1000,34,2.94,https://www.freshbooks.com/accounting-templates/profit-and-loss,41,0.01,120.00,0.55,111000000,"[54,54,41,66,54,41,41,41,20,16,20,24]",2025-12-19,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches",informational,Image pack
excel bill template,1,1,1000,41,4.42,https://www.freshbooks.com/invoice-templates/excel,41,0.01,181.00,0.21,0,"[66,54,30,24,100,36,79,36,20,41,41,41]",2025-11-19,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
free estimate template,3,3,1900,34,4.98,https://www.freshbooks.com/estimate-templates,41,0.01,204.00,0.68,124000000,"[100,100,84,100,100,100,84,84,84,100,84,84]",2026-01-09,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",commercial,People also ask
google docs invoice template,5,5,6600,48,2.08,https://www.freshbooks.com/invoice-templates/google-docs,39,0.01,81.00,0.34,18500000,"[66,44,81,66,54,54,54,54,44,36,54,44]",2026-01-09,"Image pack, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
estimate template,6,6,2900,36,5.04,https://www.freshbooks.com/estimate-templates/google-docs,37,0.01,186.00,0.88,147000000,"[81,54,65,65,81,65,65,54,65,54,54,54]",2026-01-06,"Image pack, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
invoice format in excel,6,6,1900,43,3.49,https://www.freshbooks.com/invoice-templates/excel,36,0.01,125.00,0.63,76400000,"[44,52,80,66,66,66,36,24,66,16,44,44]",2026-01-14,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches",informational,Organic
profit and loss account template,1,1,880,44,4.92,https://www.freshbooks.com/accounting-templates/profit-and-loss,36,0.01,177.00,0.9,75100000,"[5,13,5,44,100,80,3,7,7,7,8,13]",2025-12-22,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, Ads middle",informational,Image pack
electronic invoice,3,3,1000,22,18.01,https://www.freshbooks.com/invoice-templates/electronic,35,0.01,630.00,0.35,395000000,"[45,100,45,55,45,81,81,62,55,55,45,45]",2025-12-21,"Image pack, Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
free invoice template download,8,8,1600,65,3.14,https://www.freshbooks.com/invoice-templates,35,0.01,109.00,0.73,97900000,"[29,35,24,53,24,13,13,29,35,35,16,29]",2025-12-22,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches",informational,Organic
landscape estimate template,1,1,260,19,4.90,https://www.freshbooks.com/estimate-templates/landscaping,34,0.01,166.00,0.81,25000000,"[29,15,23,19,66,54,29,29,29,36,36,44]",2025-12-23,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
invoice template google docs,5,5,6600,44,2.08,https://www.freshbooks.com/invoice-templates/google-docs,33,0.01,68.00,0.34,18900000,"[54,66,54,81,81,66,81,66,66,54,54,54]",2026-01-10,"Image pack, Video, Ads bottom, People also ask, Related searches",informational,Organic
free estimate template,3,3,1900,34,4.98,https://www.freshbooks.com/estimate-templates/google-docs,33,0.01,164.00,0.68,124000000,"[100,100,84,100,100,100,84,84,84,100,84,84]",2026-01-09,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",commercial,People also ask
invoice template excel,2,2,2400,57,4.16,https://www.freshbooks.com/invoice-templates/excel,32,0,133.00,0.81,33300000,"[29,44,44,44,35,53,66,44,35,35,35,29]",2026-01-16,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",informational,Image pack
estimate template,4,4,2900,36,5.04,https://www.freshbooks.com/estimate-templates,31,0,156.00,0.88,147000000,"[81,54,65,65,81,65,65,54,65,54,54,54]",2026-01-06,"Image pack, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,People also ask
create an invoice free,6,6,2900,55,6.45,https://www.freshbooks.com/invoice-templates/google-docs,31,0,199.00,0.88,589000000,"[53,53,66,66,66,53,35,53,35,81,44,35]",2026-01-15,"Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums",commercial,People also ask
excel invoice template,6,6,2400,58,4.16,https://www.freshbooks.com/invoice-templates/excel,31,0,128.00,0.81,32600000,"[28,24,36,54,54,43,28,28,54,36,24,24]",2026-01-16,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
bill template word,6,6,1300,62,2.47,https://www.freshbooks.com/invoice-templates/word,31,0,76.00,0.47,121000000,"[66,66,19,1,24,13,36,7,5,3,2,15]",2025-12-25,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
invoice template excel,6,6,2400,57,4.16,https://www.freshbooks.com/invoice-templates/excel,31,0,128.00,0.81,33300000,"[29,44,44,44,35,53,66,44,35,35,35,29]",2026-01-16,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
medical invoice template,3,3,480,15,3.85,https://www.freshbooks.com/invoice-templates/medical,31,0,119.00,0.43,41000000,"[20,16,24,36,45,36,30,24,20,20,55,24]",2025-12-24,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
invoice word template,7,7,1300,62,2.47,https://www.freshbooks.com/invoice-templates/word,31,0,76.00,0.47,54300000,"[13,36,24,24,36,24,24,24,100,27,8,27]",2025-12-28,"Image pack, Video, Image, Ads top, Ads bottom, Related searches",informational,Organic
free invoice templates,9,9,4400,73,3.49,https://www.freshbooks.com/invoice-templates,30,0,104.00,0.63,57900000,"[44,10,29,36,44,12,24,19,24,12,44,24]",2026-01-15,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
construction invoice sample,4,4,880,30,5.73,https://www.freshbooks.com/invoice-templates/construction,30,0,171.00,0.98,35400000,"[67,100,55,45,100,76,67,76,36,55,55,45]",2025-12-06,"Image pack, Video, Image, Related searches",informational,Organic
income statement template excel,1,1,720,24,5.32,https://www.freshbooks.com/accounting-templates/income-statement,29,0,154.00,0.2,32600000,"[25,46,37,100,46,37,37,37,25,31,25,46]",2025-12-05,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
bill template pdf,8,8,1300,52,2.88,https://www.freshbooks.com/invoice-templates/pdf,28,0,80.00,0.81,191000000,"[37,84,84,84,68,68,68,46,68,100,52,68]",2025-12-27,"Image pack, Sitelinks, Image, Related searches",informational,Organic
free invoice creator,7,7,2900,58,5.83,https://www.freshbooks.com/invoice-templates/google-docs,27,0,157.00,0.72,32900000,"[7,16,10,16,23,23,19,29,23,81,44,100]",2026-01-06,"Video, Ads top, Ads bottom, People also ask, Related searches",commercial,People also ask
landscaping quote template,1,1,210,16,5.72,https://www.freshbooks.com/estimate-templates/landscaping,27,0,154.00,0.75,2250000,"[28,35,35,66,82,100,82,100,82,53,35,35]",2026-01-05,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,Organic
estimate template excel free download,1,1,110,15,2.55,https://www.freshbooks.com/estimate-templates/excel,27,0,68.00,0.23,21100000,"[33,42,42,52,52,52,42,52,23,52,66,42]",2025-12-14,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
google sheets estimate template,1,1,110,8,5.47,https://www.freshbooks.com/estimate-templates/google-sheets,27,0,147.00,0.25,14100000,"[1,1,1,2,2,2,2,2,2,1,2,2]",2025-11-29,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
estimate format in excel,1,1,210,31,5.99,https://www.freshbooks.com/estimate-templates/excel,27,0,161.00,0.6,117000000,"[28,35,23,28,18,23,35,15,28,35,100,23]",2026-01-12,"Image pack, Video, Image, Ads bottom, Video Carousel, Related searches","informational, transactional",Organic
invoice templates,6,6,6600,75,3.52,https://www.freshbooks.com/invoice-templates,26,0,91.00,1,63100000,"[54,44,36,23,36,36,44,81,81,100,44,29]",2026-01-14,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know",informational,Image pack
how to create invoice,3,3,2400,64,6.28,https://www.freshbooks.com/invoice-templates/google-docs,26,0,163.00,0.5,410000000,"[66,44,35,8,13,44,24,29,100,53,35,66]",2026-01-09,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
free invoice template pdf,5,5,2400,51,2.87,https://www.freshbooks.com/invoice-templates/google-docs,26,0,74.00,0.7,85400000,"[52,52,66,66,66,66,66,66,66,66,52,66]",2026-01-14,"Image pack, Video, Image, Ads bottom, People also ask, Related searches",informational,People also ask
graphic design invoice template,4,4,390,36,5.14,https://www.freshbooks.com/invoice-templates/graphic-design,25,0,128.00,0.97,17600000,"[29,36,29,54,67,100,67,44,36,44,29,19]",2025-12-19,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
small business invoice template,3,3,390,57,6.63,https://www.freshbooks.com/invoice-templates/small-business,25,0,165.00,0.93,0,"[29,66,44,44,54,54,54,54,100,66,54,44]",2026-01-01,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
excel invoice template,3,3,2400,58,4.16,https://www.freshbooks.com/invoice-templates/excel,25,0,104.00,0.81,32600000,"[28,24,36,54,54,43,28,28,54,36,24,24]",2026-01-16,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Image pack
accounting templates,4,4,590,27,7.44,https://www.freshbooks.com/accounting-templates,25,0,186.00,0.08,107000000,"[11,11,7,16,31,31,25,16,13,100,25,68]",2025-12-05,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
invoice template for construction work,4,4,590,37,5.73,https://www.freshbooks.com/invoice-templates/construction,25,0,143.00,0.98,7140000,"[45,55,55,36,13,45,100,76,45,55,20,30]",2025-12-07,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
medical invoice,3,3,590,24,7.30,https://www.freshbooks.com/invoice-templates/medical,25,0,182.00,0.15,190000000,"[54,29,36,44,67,67,100,81,100,81,54,67]",2026-01-11,"Knowledge panel, Video, Image, Ads bottom, People also ask, Related searches, Things to know, AI overview",informational,Organic
template financial statement,1,1,590,32,4.71,https://www.freshbooks.com/accounting-templates/income-statement,24,0,113.00,0.58,256000000,"[81,36,45,45,55,0,0,0,36,45,36,30]",2025-12-01,"Image pack, Video, Image, Video Carousel, Related searches",informational,Image pack
free invoice pdf,9,9,1300,56,2.73,https://www.freshbooks.com/invoice-templates/pdf,24,0,65.00,0.69,321000000,"[20,41,66,20,54,54,41,54,66,41,66,66]",2025-12-02,"Image pack, Sitelinks, Video, Ads bottom, Related searches",informational,Organic
invoice pdf,6,6,1000,50,4.15,https://www.freshbooks.com/invoice-templates/pdf,24,0,99.00,0.49,776000000,"[68,52,46,52,46,68,68,68,52,68,52,52]",2025-12-11,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, AI overview",informational,Organic
pro froma cost template program for free,10,10,1300,19,0.00,https://www.freshbooks.com/invoice-templates/proforma,24,0,0.00,0,1670000,"[100,0]",2025-12-16,"Sitelinks, Video, Ads top, Ads bottom, Related searches",informational,Organic
ms word invoice template,6,6,1000,55,3.18,https://www.freshbooks.com/invoice-templates/word,24,0,76.00,0.01,12300000,"[62,62,55,4,55,62,81,100,36,55,45,81]",2025-12-08,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
income statement format excel,1,1,590,26,5.36,https://www.freshbooks.com/accounting-templates/income-statement,24,0,128.00,0.31,69800000,"[24,16,100,55,30,55,30,13,16,45,76,55]",2026-01-06,"Image pack, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches","informational, transactional",Image pack
excel bill template,6,6,1000,41,4.42,https://www.freshbooks.com/invoice-templates/excel,24,0,106.00,0.21,0,"[66,54,30,24,100,36,79,36,20,41,41,41]",2025-11-19,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
invoice model word,6,6,1000,57,2.47,https://www.freshbooks.com/invoice-templates/word,24,0,59.00,0.47,53700000,"[4,10,2,23,2,2,2,2,4,2,81,2]",2026-01-04,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches",informational,Organic
free estimate template,6,6,1900,34,4.98,https://www.freshbooks.com/estimate-templates/google-docs,24,0,119.00,0.68,124000000,"[100,100,84,100,100,100,84,84,84,100,84,84]",2026-01-09,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",commercial,Organic
invoice template google sheets,2,2,880,45,2.88,https://www.freshbooks.com/invoice-templates/google-sheets,22,0,63.00,0.16,15000000,"[37,52,25,31,37,31,46,31,46,100,46,37]",2025-12-09,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
blank accounting tables,9,9,2400,33,0.00,https://www.freshbooks.com/accounting-templates,22,0,0.00,0,89700000,[100],2026-01-13,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
ms word invoice template,1,1,1000,55,3.18,https://www.freshbooks.com/invoice-templates/word,22,0,69.00,0.01,12300000,"[62,62,55,4,55,62,81,100,36,55,45,81]",2025-12-08,"Image pack, Video, Image, Ads bottom, Related searches",informational,Image pack
estimate format in excel free download,1,1,90,21,2.34,https://www.freshbooks.com/estimate-templates/excel,22,0,51.00,0.58,88800000,"[64,50,64,50,35,100,64,64,50,50,78,64]",2026-01-04,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, Related searches","commercial, informational",Organic
free estimates,4,4,1900,26,8.35,https://www.freshbooks.com/estimate-templates,22,0,183.00,0.43,297000000,"[43,43,36,43,54,43,43,29,54,54,43,36]",2026-01-15,"Image pack, Video, People also ask, Related searches, Ads middle",informational,People also ask
self employed invoice format,1,1,170,44,4.45,https://www.freshbooks.com/invoice-templates/self-employed-invoice,22,0,97.00,0.86,2530000,"[53,65,53,81,65,43,100,53,21,21,12,43]",2025-12-28,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
estimate template for landscaping,1,1,170,15,5.08,https://www.freshbooks.com/estimate-templates/landscaping,22,0,111.00,0.39,686000,"[8,6,8,15,35,100,100,23,15,23,18,28]",2025-12-01,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
job estimate template word,1,1,170,30,5.91,https://www.freshbooks.com/estimate-templates/word,22,0,130.00,0.52,23700000,"[23,0,0,0,82,100,82,53,53,53,28,35]",2025-11-28,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
invoice sample word,4,4,480,52,2.55,https://www.freshbooks.com/invoice-templates/word,21,0,53.00,0.49,61200000,"[37,31,37,46,20,20,37,25,46,0,1,5]",2025-12-14,"Image pack, Video, Image, Ads bottom, Related searches",informational,Organic
medical bill template,4,4,480,32,3.85,https://www.freshbooks.com/invoice-templates/medical,21,0,80.00,0.43,111000000,"[54,44,54,81,81,67,67,44,36,36,100,36]",2026-01-10,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
hotel invoice template,2,2,260,22,3.83,https://www.freshbooks.com/invoice-templates/hotel,21,0,80.00,0.49,15400000,"[13,13,13,16,16,11,11,13,13,11,7,5]",2025-12-30,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
estimate template pdf,2,2,260,18,3.86,https://www.freshbooks.com/estimate-templates/pdf,21,0,81.00,0.77,9,"[53,53,66,43,53,82,82,66,82,82,66,66]",2025-11-19,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
invoice excel template,5,5,720,50,3.49,https://www.freshbooks.com/invoice-templates/excel,21,0,73.00,0.63,93300000,"[8,62,45,62,36,30,62,45,81,45,24,45]",2025-12-24,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches",informational,Organic
estimate templates free,7,7,880,36,5.41,https://www.freshbooks.com/estimate-templates/google-docs,21,0,113.00,0.64,66000000,"[24,20,36,36,62,100,81,55,55,62,81,45]",2025-12-19,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
expense report template,8,8,2900,41,7.99,https://www.freshbooks.com/accounting-templates/expense-report,20,0,159.00,0.56,204000000,"[44,53,66,100,53,53,53,53,53,66,66,44]",2026-01-16,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
estimate templates,8,8,880,22,5.21,https://www.freshbooks.com/estimate-templates/google-docs,19,0,98.00,0.62,9,"[79,36,16,41,10,16,20,24,100,66,16,24]",2025-11-24,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
free sample invoice template,1,1,480,67,3.49,https://www.freshbooks.com/invoice-templates,19,0,66.00,0.63,51200000,"[30,100,36,8,3,30,7,10,13,4,8,10]",2026-01-08,"Image pack, Video, Image, Ads bottom, Related searches",informational,Image pack
invoice templates,9,9,6600,75,3.52,https://www.freshbooks.com/invoice-templates,19,0,66.00,1,63100000,"[54,44,36,23,36,36,44,81,81,100,44,29]",2026-01-14,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know",informational,Organic
p&l format,1,1,480,41,3.20,https://www.freshbooks.com/accounting-templates/profit-and-loss,19,0,60.00,0.51,8150000,"[81,19,54,100,29,81,44,29,100,67,23,23]",2026-01-11,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",informational,Image pack
medical invoice template,1,1,480,15,3.85,https://www.freshbooks.com/en-za/invoice-templates/medical,19,0,73.00,0.43,41000000,"[20,16,24,36,45,36,30,24,20,20,55,24]",2025-12-24,"Image pack, Video, Image, Ads bottom, Related searches",informational,Image pack
medical invoice,1,1,590,24,7.30,https://www.freshbooks.com/invoice-templates/medical,19,0,138.00,0.15,190000000,"[54,29,36,44,67,67,100,81,100,81,54,67]",2026-01-11,"Knowledge panel, Video, Image, Ads bottom, People also ask, Related searches, Things to know, AI overview",informational,AI overview
